,country,jumlah_video,jumlah_channel,avg_views,avg_likes,avg_dislikes,avg_comments,fav_category
0,DE,36747,6454,1652258.1284459035,93408.81953007428,2402.465260127997,7298.516976053686,24
1,GB,30366,5958,2248312.9599106847,121559.18179501028,2674.3914320685435,9368.37510636372,24
2,US,30504,6603,2572959.7749423734,137007.32190375603,3108.864291322925,11562.416311654457,24
