,channelTitle,sum_video,sum_views,avg_views,avg_trend_days,sum_trend,avg_freq_trend
716,AriLennoxVEVO,1,1917893,1917893.0,6.0,11,11.0
717,Arian,7,2214741,316391.5714285714,4.0,33,4.714285714285714
718,Ariana Grande,8,18464828,2308103.5,6.0,103,12.875
719,Ariana Lee,1,3394639,3394639.0,5.0,9,9.0
720,ArianaGrandeVevo,21,195985598,9332647.523809524,6.476190476190476,260,12.380952380952381
721,Ariel Helwani,1,78031,78031.0,3.0,3,3.0
722,AriesVEVO,1,93126,93126.0,1.0,1,1.0
723,Arilena Ara,1,2088104,2088104.0,7.0,11,11.0
724,Arirang News,3,2276139,758713.0,6.0,18,6.0
725,Arixn,2,263245,131622.5,1.5,3,1.5
726,Arkasha,1,902971,902971.0,7.0,16,16.0
727,Arkeolog,2,80474134,40237067.0,8.0,23,11.5
728,ArkivaShqip,13,8525716,655824.3076923077,4.0,55,4.230769230769231
729,Arlo,4,1179048,294762.0,4.25,17,4.25
730,Armin Nicoara,2,453512,226756.0,3.0,6,3.0
731,Arnaldo Mangini,1,10336512,10336512.0,5.0,5,5.0
732,Arnie Negrete,1,2009308,2009308.0,5.0,5,5.0
733,Arnold Schwarzenegger,1,140606,140606.0,4.0,4,4.0
734,ArrDee,6,13418480,2236413.3333333335,7.5,59,9.833333333333334
735,Arsenal,51,66976439,1313263.5098039217,5.411764705882353,311,6.098039215686274
736,Art In Draw,1,1171292,1171292.0,3.0,3,3.0
737,Art with Flo,1,8771913,8771913.0,5.0,5,5.0
738,Arta,1,521843,521843.0,6.0,16,16.0
739,Artcoaster,1,2936231,2936231.0,5.0,9,9.0
740,Arte TRACKS,1,237867,237867.0,5.0,5,5.0
741,Artisan Electrics,1,227768,227768.0,5.0,5,5.0
742,Artist Shikha Sharma,3,75650260,25216753.333333332,4.0,17,5.666666666666667
743,Artus Weichert,3,232598,77532.66666666667,3.3333333333333335,10,3.3333333333333335
744,ArwiRano,1,91020,91020.0,4.0,4,4.0
745,Arya Lee,2,252184,126092.0,5.5,11,5.5
746,As Craft Idea,2,80730147,40365073.5,3.5,7,3.5
747,AsapSCIENCE,3,1950769,650256.3333333334,5.666666666666667,22,7.333333333333333
748,Asche Musik,22,6772756,307852.54545454547,5.2727272727272725,116,5.2727272727272725
749,Asda,1,2070088,2070088.0,9.0,9,9.0
750,Ash,1,89914,89914.0,2.0,2,2.0
751,Ash & Max,1,400658,400658.0,7.0,7,7.0
752,Ash Kabosu,3,620253,206751.0,4.0,17,5.666666666666667
753,Ash Magic,3,10508321,3502773.6666666665,4.333333333333333,23,7.666666666666667
754,AshantiVEVO,1,1287877,1287877.0,7.0,7,7.0
755,AsheMusicVEVO,3,3769948,1256649.3333333333,6.333333333333333,37,12.333333333333334
756,Ashley Neal,1,98769,98769.0,5.0,5,5.0
757,Ashnikko,4,8728784,2182196.0,5.75,43,10.75
758,Ashton Irwin,1,752674,752674.0,5.0,10,10.0
759,Ashtvn,1,890991,890991.0,5.0,5,5.0
760,Ashville,3,2421020,807006.6666666666,6.333333333333333,24,8.0
761,"Ashville Aggregates, Grab Hire, Tipper Hire, Skip Hire And Material",1,95754,95754.0,3.0,3,3.0
762,Asian Boss,1,2650479,2650479.0,5.0,5,5.0
763,Asian Cricket Council,2,11756940,5878470.0,4.0,8,4.0
764,Asian Doll,2,708372,354186.0,5.0,10,5.0
765,Asian Family,1,109282,109282.0,5.0,5,5.0
766,Asian Goodies,1,60435331,60435331.0,4.0,4,4.0
767,Asian Street food,1,20065607,20065607.0,6.0,10,10.0
768,Asis Food,1,608672,608672.0,5.0,10,10.0
769,Ask A Mortician,3,856120,285373.3333333333,4.666666666666667,15,5.0
770,Ask a Mortician,3,1928019,642673.0,6.333333333333333,23,7.666666666666667
771,Asmaa Beauty,1,1852970,1852970.0,4.0,7,7.0
772,Asmongold TV,6,7517009,1252834.8333333333,4.833333333333333,54,9.0
773,Asmxlls,4,623895,155973.75,5.0,24,6.0
774,Aspyn Ovard,1,538110,538110.0,7.0,7,7.0
775,Aspyn and Parker,4,2736357,684089.25,5.5,31,7.75
776,Assala Nasri,1,3369081,3369081.0,6.0,6,6.0
777,Associated Press,5,4437851,887570.2,5.6,34,6.8
778,Astartes,1,380038,380038.0,5.0,13,13.0
779,Aster Arcadia 【NIJISANJI EN】,1,488945,488945.0,5.0,14,14.0
780,Aston Martin,1,176983,176983.0,5.0,7,7.0
781,Aston Martin Aramco Cognizant F1 Team,3,2194199,731399.6666666666,5.666666666666667,34,11.333333333333334
782,Aston Martin Cognizant F1 Team,2,935662,467831.0,5.5,15,7.5
